store_id,store_name,city,state,store_type
2086,Store_2086,Kolkata,West Bengal,High Street
2087,Store_2087,Pune,Maharashtra,High Street
2088,Store_2088,Jaipur,Rajasthan,Mall
2089,Store_2089,Delhi,Delhi,High Street
2090,Store_2090,Hyderabad,Telangana,Mall
2091,Store_2091,Kolkata,West Bengal,High Street
2092,Store_2092,Ahmedabad,Gujarat,Warehouse
2093,Store_2093,Nagpur,Maharashtra,High Street
2094,Store_2094,Lucknow,Uttar Pradesh,High Street
2095,Store_2095,Kolkata,West Bengal,Warehouse
2096,Store_2096,Kolkata,West Bengal,Warehouse
2097,Store_2097,Mumbai,Maharashtra,High Street
2098,Store_2098,Pune,Maharashtra,High Street
2099,Store_2099,Bengaluru,Karnataka,Warehouse
2100,Store_2100,Pune,Maharashtra,Warehouse
2101,Store_2101,Ahmedabad,Gujarat,Mall
2102,Store_2102,Ahmedabad,Gujarat,Mall
2103,Store_2103,Chennai,Tamil Nadu,Mall
2104,Store_2104,Gurugram,Haryana,High Street
2105,Store_2105,Lucknow,Uttar Pradesh,High Street
2106,Store_2106,Jaipur,Rajasthan,High Street
2107,Store_2107,Gurugram,Haryana,Mall
2108,Store_2108,Delhi,Delhi,Mall
2109,Store_2109,Gurugram,Haryana,High Street
2110,Store_2110,Nagpur,Maharashtra,High Street
2111,Store_2111,Nagpur,Maharashtra,Mall
2112,Store_2112,Kochi,Kerala,Mall
2113,Store_2113,Jaipur,Rajasthan,High Street
2114,Store_2114,Mumbai,Maharashtra,Franchise
2115,Store_2115,Chandigarh,Punjab,High Street
2116,Store_2116,Surat,Gujarat,High Street
2117,Store_2117,Coimbatore,Tamil Nadu,Warehouse
2118,Store_2118,Bengaluru,Karnataka,Mall
2119,Store_2119,Indore,Madhya Pradesh,High Street
2120,Store_2120,Bengaluru,Karnataka,High Street
